object_id,sersic_sersic_vis_radius,sersic_sersic_vis_radius_err,sersic_sersic_vis_axis_ratio,sersic_sersic_vis_axis_ratio_err,sersic_sersic_vis_index,sersic_sersic_vis_index_err
-861556546086816217,0.4534537196159363,NaN,0.5037615299224854,6.95270212913425E-16,1.0,3.1809441419870105E-15
-861553116086842109,0.2736881971359253,NaN,0.8546800017356873,4.8596260349142995E-9,1.0,NaN
-861547479086786330,0.6611961126327515,2.971128514087543E-28,0.5239524841308594,NaN,1.0,1.7717240919569166E-17
-861546201086797146,0.4352499842643738,NaN,0.6274714469909668,NaN,1.0,5.3519053772044245E-11
-861544581086737122,1.0655732154846191,2.1877522625325075E-26,0.21609127521514893,NaN,1.0,1.7188503961826167E-15
-861543670086722976,0.5605547428131104,1.0853003504098862E-26,0.4660796523094177,9.965324624996714E-16,1.0,1.100812700339398E-15
-861540982086597813,0.9456016421318054,1.653017726806544E-28,0.5354438424110413,9.506099392982916E-18,1.0,NaN
-861540731086715863,0.49481338262557983,NaN,0.6082445383071899,NaN,1.0,NaN
-861536881086843866,0.31801536679267883,9.285755880903395E-21,0.5653066039085388,NaN,1.0,2.0040040737967502E-7
-861536764086651511,0.21750271320343018,0.0,0.9158960580825806,0.0,1.0,0.0
-861535877086774423,0.3099589943885803,NaN,0.5339428782463074,3.0468000084687974E-12,1.0,2.1284560919321294E-11
-861535420086768247,0.3872077763080597,2.3122599787924798E-24,0.4754663109779358,NaN,1.0,NaN
-861534463086724295,0.48611894249916077,3.832530035583389E-24,0.6334966421127319,3.464218905784483E-16,1.0,1.7019972992684531E-15
-861533707086821500,0.9743316173553467,NaN,0.8286617994308472,6.890434768491728E-18,1.0004891157150269,NaN
-861530048086731961,0.3771619200706482,5.542024907127522E-23,0.8952347636222839,4.3871831623305824E-13,1.0,NaN
-861528593086569026,0.30872392654418945,4.595043282392858E-25,0.9416561126708984,NaN,1.0,1.269649702484877E-14
-861527478086871466,0.6430527567863464,3.324508028979949E-20,0.4286704659461975,NaN,1.0,4.9026940729390844E-8
-861525796086810356,0.4218887686729431,NaN,0.6884340643882751,2.963418399559714E-11,1.0,NaN
-861525031086617345,0.3473578691482544,NaN,0.8856949806213379,NaN,1.0,1.2653295803439959E-17
